arquivo;extensao;tamanho_mb;data_modificacao;caminho_completo
Volvo FH 440 - Frontal diagonal.png;.png;0.29;17/04/2026 16:09:56;C:\Pasta de Trabalho\Uny FleetCom\apresentacao_html_slides\assets\ppt_media\Volvo FH 440 - Frontal diagonal.png
Volvo FH 440 - Frontal.png;.png;0.19;17/04/2026 16:10:46;C:\Pasta de Trabalho\Uny FleetCom\apresentacao_html_slides\assets\ppt_media\Volvo FH 440 - Frontal.png
Volvo FH 440 - Interior bancos.png;.png;0.46;17/04/2026 16:12:17;C:\Pasta de Trabalho\Uny FleetCom\apresentacao_html_slides\assets\ppt_media\Volvo FH 440 - Interior bancos.png
Volvo FH 440 - Interior cama.png;.png;0.31;17/04/2026 16:12:50;C:\Pasta de Trabalho\Uny FleetCom\apresentacao_html_slides\assets\ppt_media\Volvo FH 440 - Interior cama.png
Volvo FH 440 - Lateral esquerda.png;.png;0.14;17/04/2026 16:11:44;C:\Pasta de Trabalho\Uny FleetCom\apresentacao_html_slides\assets\ppt_media\Volvo FH 440 - Lateral esquerda.png
Volvo FH 440 - Trazeira diagonal.png;.png;0.20;17/04/2026 16:11:10;C:\Pasta de Trabalho\Uny FleetCom\apresentacao_html_slides\assets\ppt_media\Volvo FH 440 - Trazeira diagonal.png
executar_gerar_csv.bat;.bat;0.00;16/04/2026 10:25:19;C:\Pasta de Trabalho\Uny FleetCom\apresentacao_html_slides\assets\ppt_media\executar_gerar_csv.bat
image1.jpeg;.jpeg;0.02;31/12/1979 23:00:00;C:\Pasta de Trabalho\Uny FleetCom\apresentacao_html_slides\assets\ppt_media\image1.jpeg
image10.png;.png;0.00;31/12/1979 23:00:00;C:\Pasta de Trabalho\Uny FleetCom\apresentacao_html_slides\assets\ppt_media\image10.png
image11.png;.png;0.00;31/12/1979 23:00:00;C:\Pasta de Trabalho\Uny FleetCom\apresentacao_html_slides\assets\ppt_media\image11.png
image12.png;.png;0.00;31/12/1979 23:00:00;C:\Pasta de Trabalho\Uny FleetCom\apresentacao_html_slides\assets\ppt_media\image12.png
image13.png;.png;0.00;31/12/1979 23:00:00;C:\Pasta de Trabalho\Uny FleetCom\apresentacao_html_slides\assets\ppt_media\image13.png
image14.png;.png;8.07;31/12/1979 23:00:00;C:\Pasta de Trabalho\Uny FleetCom\apresentacao_html_slides\assets\ppt_media\image14.png
image15.png;.png;3.91;31/12/1979 23:00:00;C:\Pasta de Trabalho\Uny FleetCom\apresentacao_html_slides\assets\ppt_media\image15.png
image16.svg;.svg;0.00;31/12/1979 23:00:00;C:\Pasta de Trabalho\Uny FleetCom\apresentacao_html_slides\assets\ppt_media\image16.svg
image17.svg;.svg;0.00;31/12/1979 23:00:00;C:\Pasta de Trabalho\Uny FleetCom\apresentacao_html_slides\assets\ppt_media\image17.svg
image2.png;.png;0.02;31/12/1979 23:00:00;C:\Pasta de Trabalho\Uny FleetCom\apresentacao_html_slides\assets\ppt_media\image2.png
image3.jpeg;.jpeg;0.03;31/12/1979 23:00:00;C:\Pasta de Trabalho\Uny FleetCom\apresentacao_html_slides\assets\ppt_media\image3.jpeg
image4.png;.png;1.98;31/12/1979 23:00:00;C:\Pasta de Trabalho\Uny FleetCom\apresentacao_html_slides\assets\ppt_media\image4.png
image5.png;.png;0.00;31/12/1979 23:00:00;C:\Pasta de Trabalho\Uny FleetCom\apresentacao_html_slides\assets\ppt_media\image5.png
image6.png;.png;0.00;31/12/1979 23:00:00;C:\Pasta de Trabalho\Uny FleetCom\apresentacao_html_slides\assets\ppt_media\image6.png
image7.png;.png;2.20;31/12/1979 23:00:00;C:\Pasta de Trabalho\Uny FleetCom\apresentacao_html_slides\assets\ppt_media\image7.png
image8.png;.png;0.00;31/12/1979 23:00:00;C:\Pasta de Trabalho\Uny FleetCom\apresentacao_html_slides\assets\ppt_media\image8.png
image9.png;.png;0.00;31/12/1979 23:00:00;C:\Pasta de Trabalho\Uny FleetCom\apresentacao_html_slides\assets\ppt_media\image9.png
